Model,MAE,MSE,RMSE,R2,CV_Mean_R2,CV_Std_R2
HistGB (Tuned),51022599.248755045,2.0696596434661664e+16,143863117.00592917,0.6761740714441667,0.7072230168163879,0.0
Gradient Boosting,53631364.35773041,2.0945143634575024e+16,144724371.25299603,0.672285218122028,0.676227411425543,0.0364893924242448
HistGradientBoosting,53652220.726714335,2.165925756546932e+16,147170844.821484,0.6611119506963166,0.6839381962573388,0.04953344207620199
Random Forest,53962140.72969834,2.2474772545140304e+16,149915884.89930046,0.6483521282599632,0.7011453040167649,0.03465529583884548
Ridge Regression,59618212.30892372,2.6270812162591336e+16,162082732.46274984,0.5889580120420371,0.6359612253614696,0.03977171418959271
Lasso Regression,59749280.13086296,2.6296218230846948e+16,162161087.28929684,0.5885605001289165,0.6359315342268836,0.03919217775393647
Linear Regression,59752399.795940846,2.6296598061624004e+16,162162258.43772653,0.5885545571684658,0.6359307503988101,0.0391872600056306
Decision Tree,73813655.82839008,3.099086564345196e+16,176042226.87597415,0.5151064632572782,0.44147323824708706,0.08750550639820946
